iter	RMSE
231	82726.66825
232	82636.97198
233	82542.93249
234	82469.18499
235	82377.40704
236	82275.51812
237	82186.8663
238	82098.41958
239	82022.94408
240	81922.80486
241	81838.31326
242	81753.66135
243	81670.40285
244	81588.44185
245	81514.15105
246	81397.11927
247	81294.97212
248	81165.63676
249	81108.11263
250	80982.33277
251	80928.38403
252	80840.45369
253	80738.86409
254	80674.12819
255	80581.28164
256	80510.12131
257	80380.38236
258	80310.97415
259	80216.4965
260	80136.08272
261	80081.42244
262	79999.9949
263	79918.86629
264	79849.27236
265	79790.4222
266	79720.45876
267	79628.73739
268	79525.03825
269	79466.38263
270	79387.1565
271	79330.46616
272	79275.0484
273	79181.31717
274	79103.58385
275	79039.35881
276	78946.03218
277	78884.7471
278	78792.86142
279	78691.85772
280	78605.72572
281	78557.2717
282	78480.92898
283	78380.74198
284	78331.72538
285	78268.77517
286	78166.72532
287	78101.10744
288	78030.0846
289	77979.34284
290	77865.25123
291	77767.66781
292	77690.96795
293	77558.50623
294	77493.83523
295	77406.31091
296	77312.11634
297	77249.56769
298	77151.84613
299	77106.8215
300	77004.81556
301	76909.47634
302	76845.86148
303	76810.46699
304	76738.98233
305	76628.1238
306	76561.69641
307	76446.54864
308	76362.74524
309	76288.61401
310	76217.69962
311	76177.66709
312	76123.09329
313	76045.63309
314	75994.71643
315	75927.51008
316	75862.54722
317	75797.87822
318	75706.17238
319	75641.69212
320	75572.90585
321	75506.79064
322	75454.74716
323	75393.60875
324	75365.54665
325	75285.62491
326	75265.29988
327	75187.2483
328	75111.97941
329	75037.39387
330	74976.53699
331	74880.35011
332	74822.92841
333	74784.83032
334	74723.90548
335	74664.1358
336	74601.07774
337	74528.56522
338	74476.81362
339	74387.08966
340	74344.12088
341	74264.11574
342	74205.52012
343	74147.36459
344	74131.04325
345	74032.48203
346	73981.42266
347	73912.57297
348	73846.49
349	73753.29917
350	73681.10411
351	73608.8408
352	73519.96269
353	73440.61718
354	73390.12577
355	73329.31887
356	73279.62545
357	73260.94344
358	73189.23325
359	73121.16758
360	73025.60667
361	72964.955
362	72915.55149
363	72822.11142
364	72769.67369
365	72710.19601
366	72595.07698
367	72521.91349
368	72484.64641
369	72441.521
370	72393.04689
371	72329.75774
372	72261.46008
373	72197.65376
374	72136.03909
375	72081.57747
376	71987.7426
377	71910.429
378	71858.55798
379	71799.4391
380	71738.08968
381	71713.70922
382	71638.22324
383	71589.77344
384	71522.37104
385	71458.32974
386	71403.88026
387	71393.39228
388	71379.00232
389	71316.06476
390	71239.00746
391	71166.86615
392	71125.813
393	71064.83273
394	71015.81851
395	70961.83812
396	70884.89721
397	70799.9067
398	70737.72266
399	70689.13238
400	70614.69285
401	70604.89709
402	70534.24965
403	70437.33676
404	70336.28313
405	70280.46889
406	70238.9754
407	70165.23588
408	70105.13389
409	70060.55913
410	70004.80484
411	69947.73451
412	69876.74272
413	69808.32935
414	69775.08535
415	69701.15078
416	69654.43807
417	69592.42447
418	69538.44401
419	69449.04404
420	69366.39715
421	69326.24353
422	69289.7452
423	69253.28735
424	69202.43651
425	69152.91175
426	69104.2271
427	69058.97312
428	69044.67395
429	68990.03419
430	68953.41219
431	68893.54908
432	68845.84453
433	68772.66275
434	68720.1128
435	68665.67665
436	68572.69295
437	68520.28685
438	68474.74092
439	68460.4312
440	68393.81803
441	68387.89825
442	68336.54188
443	68297.20822
444	68234.64302
445	68180.58981
446	68119.7058
447	68056.20799
448	67997.30045
449	67968.15326
450	67893.38074
451	67834.94541
452	67793.30598
453	67730.46875
454	67695.51981
455	67644.25752
456	67579.56094
457	67522.45018
458	67460.32242
459	67391.12333
460	67342.93083
461	67305.13522
462	67243.74535
463	67237.96556
464	67224.93673
465	67168.90503
466	67085.12264
467	67040.96826
468	66999.32141
469	66956.19429
470	66906.71378
471	66856.94792
472	66797.47004
473	66753.76702
474	66744.68884
475	66702.17872
476	66662.63432
477	66622.71763
478	66556.04074
479	66518.72367
480	66488.33947
481	66430.89031
482	66382.57344
483	66342.16679
484	66300.77293
485	66220.56345
486	66185.46689
487	66144.92431
488	66093.89134
489	66041.94091
490	65969.90964
491	65919.63764
492	65883.44859
493	65849.17485
494	65785.60669
495	65735.66989
496	65694.75348
497	65625.93942
498	65589.98973
499	65544.6248
500	65507.58244
501	65502.25421
502	65432.18508
503	65391.03038
504	65385.93739
505	65337.58475
506	65286.82968
507	65260.4915
508	65212.85205
509	65159.01883
510	65110.97418
511	65067.24113
512	65024.4874
513	64987.95213
514	64955.35428
515	64900.62117
516	64860.58665
517	64815.46961
518	64741.3325
519	64736.43069
520	64692.16623
521	64638.77578
522	64597.70559
523	64551.69939
524	64486.3768
525	64403.23883
526	64363.10919
527	64293.02008
528	64287.55065
529	64260.4588
530	64207.26283
531	64168.75159
532	64123.99196
533	64118.64687
534	64061.85677
535	64017.78085
536	63965.64111
537	63921.92106
538	63877.08954
539	63835.46604
540	63795.97739
541	63743.51506
542	63694.67396
543	63664.88261
544	63631.66782
545	63604.64808
546	63561.81361
547	63489.76496
548	63451.63575
549	63406.03979
550	63371.46381
551	63335.57095
552	63307.47447
553	63247.62406
554	63192.97558
555	63141.04861
556	63107.69332
557	63074.56408
558	63048.59269
559	63021.27901
560	62972.65578
561	62934.61049
562	62912.04804
563	62859.34377
564	62821.81833
565	62779.51441
566	62742.1948
567	62701.16301
568	62653.03196
569	62631.21693
570	62585.87627
571	62540.64765
572	62499.41034
573	62463.3147
574	62416.61708
575	62353.67588
576	62312.05965
577	62276.63175
578	62240.86327
579	62208.08826
580	62158.69376
581	62124.27103
582	62086.57065
583	62039.73871
584	62012.44482
585	61978.88808
586	61959.88821
587	61927.86277
588	61878.87069
589	61856.51083
590	61814.47427
591	61776.83835
592	61724.67061
593	61678.48346
594	61618.83488
595	61570.57788
596	61528.0251
597	61480.95497
598	61443.24242
599	61407.58514
600	61371.5421
601	61302.79658
602	61257.65648
603	61240.03553
604	61206.95141
605	61173.8433
606	61089.67557
607	61074.05245
608	61037.80362
609	61015.72191
610	60975.17475
611	60930.48939
612	60884.57948
613	60852.55041
614	60827.08581
615	60801.6943
616	60769.97501
617	60735.0178
618	60692.16688
619	60638.56005
620	60593.07875
621	60547.22412
622	60503.56903
623	60467.85152
624	60427.59472
625	60374.93446
626	60342.86536
627	60308.21882
628	60303.51191
629	60270.93015
630	60230.05125
631	60195.71657
632	60167.9717
633	60136.72125
634	60132.13371
635	60105.70456
636	60067.89177
637	60033.79077
638	59983.60065
639	59933.40531
640	59904.80555
641	59877.59666
642	59844.07153
643	59803.28607
644	59758.97691
645	59731.52517
646	59711.39027
647	59706.9843
648	59688.70859
649	59648.07909
650	59602.5343
651	59571.66299
652	59548.68189
653	59527.03731
654	59490.16076
655	59486.65823
656	59436.23556
657	59402.49612
658	59350.17382
659	59282.65317
660	59234.97609
661	59201.74726
662	59169.48664
663	59120.79301
664	59093.75887
665	59050.70303
666	59025.06428
667	58984.71569
668	58938.85521
669	58906.43575
670	58885.04759
671	58855.44937
672	58832.054
673	58797.53669
674	58773.8251
675	58737.1458
676	58703.04421
677	58686.40614
678	58657.44099
679	58609.77186
680	58586.58887
681	58582.45301
682	58522.32331
683	58489.76226
684	58457.69598
685	58423.15201
686	58392.04243
687	58346.85504
688	58299.81098
689	58279.96048
690	58246.71321
691	58209.49503
692	58183.34428
693	58152.49405
694	58114.222
695	58095.27249
696	58066.23397
697	58027.28397
698	57994.27559
699	57970.28204
700	57944.2708
701	57921.65423
702	57882.09281
703	57867.37544
704	57839.99826
705	57808.39253
706	57771.60083
707	57743.03754
708	57723.58891
709	57697.48072
710	57693.48091
711	57652.28711
712	57621.69319
713	57601.44029
714	57575.62698
715	57535.06057
716	57483.70742
717	57454.24227
718	57413.308
719	57396.25797
720	57337.09075
721	57303.3457
722	57257.70484
723	57232.36802
724	57193.90683
725	57165.26266
726	57108.588
727	57053.29305
728	57037.60707
729	57005.30411
730	56974.8105
731	56936.3445
732	56932.53863
733	56898.41129
734	56876.82428
735	56845.99989
736	56811.93773
737	56790.31316
738	56777.66102
739	56753.31129
740	56726.02461
741	56673.46033
742	56636.21317
743	56593.27024
744	56560.05684
745	56524.64323
746	56494.40269
747	56471.69229
748	56431.52077
749	56396.00635
750	56366.06517
751	56350.74114
752	56326.0356
753	56294.58061
754	56252.54222
755	56222.71402
756	56194.235
757	56166.26678
758	56135.87776
759	56082.63893
760	56046.23673
761	56013.90179
762	55992.18897
763	55957.3592
764	55928.62128
765	55900.71217
766	55877.2871
767	55846.60483
768	55817.17767
769	55795.85486
770	55767.8271
771	55733.53472
772	55706.53826
773	55672.22257
774	55647.40054
775	55595.80424
776	55559.09329
777	55532.50052
778	55503.46392
779	55473.0889
780	55438.39019
781	55426.10541
782	55398.55234
783	55371.87427
784	55328.20188
785	55295.70056
786	55275.94552
787	55246.56573
788	55212.74683
789	55157.64692
790	55144.69316
791	55106.50087
792	55075.55552
793	55043.01912
794	55011.27456
795	54989.77582
796	54966.56504
797	54919.02731
798	54878.52971
799	54849.75789
800	54819.8999
801	54798.75283
802	54769.59176
803	54746.5604
804	54694.12202
805	54661.35637
806	54633.34819
807	54583.41447
808	54530.81445
809	54506.0163
810	54484.60288
811	54466.00743
812	54440.75081
813	54391.8086
814	54345.16816
815	54317.65045
816	54291.56508
817	54247.47603
818	54226.85038
819	54201.74942
820	54170.60687
821	54154.07065
822	54131.73041
823	54087.97697
824	54056.88903
825	54027.57042
826	53983.79225
827	53966.47719
828	53944.24591
829	53917.2344
830	53884.07194
831	53857.11881
832	53840.14508
833	53811.44066
834	53789.00044
835	53752.86241
836	53714.51214
837	53692.44456
838	53657.66569
839	53625.13655
840	53603.92464
841	53592.47602
842	53572.06343
843	53555.9895
844	53536.03597
845	53506.89046
846	53454.80287
847	53416.25166
848	53400.58207
849	53372.92903
850	53340.33469
851	53312.72884
852	53281.68904
853	53269.24943
854	53251.22992
855	53227.17751
856	53201.21455
857	53198.10319
858	53165.62384
859	53138.899
860	53135.85683
861	53115.20991
862	53093.34509
863	53075.57028
864	53051.93532
865	53022.3963
866	52998.79742
867	52961.76865
868	52929.93544
869	52908.36032
870	52882.15323
871	52865.93587
872	52823.53836
873	52802.87923
874	52779.01425
875	52762.97093
876	52748.98672
877	52715.75183
878	52693.74952
879	52690.25542
880	52661.07107
881	52657.6666
882	52629.91606
883	52603.81746
884	52589.07243
885	52560.98123
886	52524.57855
887	52521.24906
888	52494.62222
889	52473.35148
890	52456.49541
891	52409.63191
892	52383.95475
893	52363.79832
894	52360.96818
895	52319.01458
896	52280.34886
897	52254.2854
898	52245.09833
899	52241.91148
900	52218.63856
901	52194.35484
902	52168.27184
903	52133.10648
904	52112.58323
905	52074.4644
906	52045.38571
907	52017.48864
908	51976.09592
909	51951.52046
910	51922.7347
911	51903.38057
912	51876.84459
913	51849.16666
914	51818.69195
915	51798.23409
916	51769.36979
917	51732.64316
918	51689.66575
919	51662.97977
920	51637.90448
921	51595.67052
922	51580.01988
923	51570.33867
924	51538.21675
925	51510.60548
926	51491.30484
927	51463.5944
928	51449.90402
929	51438.85861
930	51411.7404
931	51381.48621
932	51363.22028
933	51330.07531
934	51316.15161
935	51279.07864
936	51256.2112
937	51242.80139
938	51223.85691
939	51210.71857
940	51181.52268
941	51156.51039
942	51124.22164
943	51088.36753
944	51071.95243
945	51051.53958
946	51028.41435
947	51001.82676
948	50982.79423
949	50950.5678
950	50931.72368
951	50913.7842
952	50882.08681
953	50853.51236
954	50837.31923
955	50812.79444
956	50786.5532
957	50734.23337
958	50712.42289
959	50692.58353
960	50652.08338
961	50641.38433
962	50616.83337
963	50603.01154
964	50589.09417
965	50566.15002
966	50543.73943
967	50527.81811
968	50510.36571
969	50484.71821
970	50450.20746
971	50425.72771
972	50408.37285
973	50385.95917
974	50371.68308
975	50353.87137
976	50341.59956
977	50323.12737
978	50293.44833
979	50279.90238
980	50248.21281
981	50218.27142
982	50199.41276
983	50175.62073
984	50165.36753
985	50155.26207
986	50131.86908
987	50114.98101
988	50101.61781
989	50086.25382
990	50067.86261
991	50048.63328
992	50031.29945
993	50015.28541
994	49985.18992
995	49954.64959
996	49921.36943
997	49888.88475
998	49880.39042
999	49852.0832
