iter	Passed	Remaining
577	2427	1772
578	2434	1770
579	2438	1765
580	2441	1761
581	2446	1756
582	2451	1753
583	2454	1748
584	2457	1743
585	2462	1739
586	2467	1735
587	2470	1731
588	2474	1726
589	2478	1722
590	2482	1718
591	2486	1713
592	2490	1709
593	2496	1706
594	2500	1701
595	2503	1697
596	2507	1692
597	2513	1689
598	2516	1684
599	2520	1680
600	2525	1676
601	2530	1672
602	2533	1668
603	2537	1663
604	2542	1659
605	2546	1655
606	2549	1650
607	2553	1646
608	2558	1642
609	2562	1638
610	2565	1633
611	2569	1628
612	2574	1625
613	2578	1621
614	2582	1616
615	2585	1611
616	2590	1608
617	2594	1603
618	2598	1599
619	2601	1594
620	2608	1591
621	2611	1587
622	2615	1582
623	2620	1579
624	2626	1575
625	2629	1571
626	2634	1567
627	2639	1563
628	2642	1558
629	2645	1553
630	2651	1550
631	2655	1546
632	2659	1541
633	2662	1536
634	2668	1533
635	2672	1529
636	2675	1524
637	2679	1520
638	2684	1516
639	2688	1512
640	2692	1507
641	2696	1503
642	2702	1500
643	2706	1496
644	2709	1491
645	2715	1488
646	2719	1483
647	2723	1479
648	2726	1474
649	2731	1471
650	2735	1466
651	2738	1461
652	2742	1457
653	2747	1453
654	2751	1449
655	2754	1444
656	2758	1440
657	2763	1436
658	2767	1432
659	2771	1427
660	2775	1423
661	2780	1419
662	2783	1414
663	2787	1410
664	2790	1405
665	2797	1402
666	2800	1398
667	2804	1393
668	2809	1390
669	2814	1386
670	2817	1381
671	2821	1377
672	2826	1373
673	2830	1368
674	2833	1364
675	2837	1359
676	2842	1356
677	2846	1351
678	2849	1347
679	2852	1342
680	2858	1338
681	2861	1334
682	2865	1329
683	2868	1325
684	2874	1321
685	2878	1317
686	2881	1312
687	2885	1308
688	2890	1304
689	2894	1300
690	2897	1295
691	2901	1291
692	2907	1287
693	2910	1283
694	2914	1278
695	2919	1274
696	2923	1270
697	2926	1266
698	2930	1261
699	2935	1258
700	2939	1253
701	2942	1249
702	2946	1244
703	2951	1241
704	2955	1236
705	2959	1232
706	2963	1227
707	2968	1224
708	2972	1220
709	2975	1215
710	2979	1210
711	2985	1207
712	2989	1203
713	2992	1198
714	2996	1194
715	3002	1190
716	3005	1186
717	3009	1181
718	3014	1178
719	3018	1173
720	3022	1169
721	3025	1164
722	3030	1161
723	3034	1156
724	3037	1152
725	3041	1147
726	3046	1144
727	3050	1139
728	3053	1135
729	3057	1130
730	3062	1127
731	3066	1122
732	3070	1118
733	3073	1113
734	3079	1110
735	3083	1105
736	3086	1101
737	3090	1097
738	3095	1093
739	3099	1088
740	3102	1084
741	3106	1080
742	3111	1076
743	3115	1071
744	3118	1067
745	3124	1063
746	3128	1059
747	3132	1055
748	3135	1050
749	3141	1047
750	3144	1042
751	3147	1038
752	3151	1033
753	3156	1029
754	3160	1025
755	3163	1021
756	3167	1016
757	3172	1012
758	3176	1008
759	3180	1004
760	3183	999
761	3190	996
762	3193	992
763	3197	987
764	3202	983
765	3206	979
766	3210	975
767	3213	970
768	3218	966
769	3223	962
770	3226	958
771	3230	954
772	3235	950
773	3238	945
774	3242	941
775	3245	936
776	3250	933
777	3254	928
778	3258	924
779	3261	919
780	3267	916
781	3270	911
782	3273	907
783	3277	902
784	3283	899
785	3286	894
786	3290	890
787	3293	886
788	3300	882
789	3304	878
790	3307	873
791	3312	869
792	3316	865
793	3320	861
794	3324	857
795	3329	853
796	3333	849
797	3336	844
798	3340	840
799	3346	836
800	3349	832
801	3353	827
802	3356	823
803	3362	819
804	3366	815
805	3370	811
806	3373	806
807	3379	803
808	3382	798
809	3386	794
810	3390	790
811	3395	786
812	3398	781
813	3402	777
814	3408	773
815	3412	769
816	3416	765
817	3419	760
818	3425	756
819	3429	752
820	3433	748
821	3438	744
822	3442	740
823	3446	736
824	3449	731
825	3455	727
826	3459	723
827	3462	719
828	3466	715
829	3472	711
830	3476	706
831	3479	702
832	3482	698
833	3488	694
834	3491	689
835	3495	685
836	3498	681
837	3503	677
838	3506	672
839	3510	668
840	3513	664
841	3519	660
842	3523	656
843	3526	651
844	3530	647
845	3536	643
846	3539	639
847	3543	635
848	3547	630
849	3552	626
850	3556	622
851	3559	618
852	3564	614
853	3568	610
854	3572	605
855	3575	601
856	3581	597
857	3584	593
858	3588	589
859	3591	584
860	3596	580
861	3600	576
862	3603	572
863	3607	567
864	3612	563
865	3616	559
866	3620	555
867	3623	551
868	3629	547
869	3632	542
870	3636	538
871	3639	534
872	3645	530
873	3648	526
874	3652	521
875	3656	517
876	3660	513
877	3664	509
878	3667	504
879	3670	500
880	3676	496
881	3679	492
882	3683	488
883	3686	483
884	3692	479
885	3696	475
886	3699	471
887	3703	467
888	3709	463
889	3712	458
890	3715	454
891	3720	450
892	3725	446
893	3728	442
894	3732	437
895	3737	433
896	3741	429
897	3744	425
898	3748	421
899	3754	417
900	3757	412
901	3761	408
902	3764	404
903	3770	400
904	3773	396
905	3776	391
906	3780	387
907	3785	383
908	3789	379
909	3792	375
910	3796	370
911	3802	366
912	3805	362
913	3809	358
914	3815	354
915	3819	350
916	3823	346
917	3826	341
918	3832	337
919	3836	333
920	3839	329
921	3842	325
922	3848	321
923	3851	316
924	3855	312
925	3858	308
926	3864	304
927	3868	300
928	3871	295
929	3874	291
930	3879	287
931	3883	283
932	3887	279
933	3890	274
934	3895	270
935	3899	266
936	3903	262
937	3906	258
938	3912	254
939	3916	249
940	3919	245
941	3924	241
942	3929	237
943	3932	233
944	3936	229
945	3940	224
946	3945	220
947	3949	216
948	3952	212
949	3958	208
950	3962	204
951	3965	199
952	3968	195
953	3974	191
954	3978	187
955	3982	183
956	3985	179
957	3992	175
958	3995	170
959	3998	166
960	4002	162
961	4007	158
962	4011	154
963	4014	149
964	4018	145
965	4023	141
966	4027	137
967	4030	133
968	4035	129
969	4039	124
970	4043	120
971	4046	116
972	4051	112
973	4056	108
974	4059	104
975	4062	99
976	4067	95
977	4072	91
978	4075	87
979	4078	83
980	4084	79
981	4088	74
982	4092	70
983	4096	66
984	4101	62
985	4104	58
986	4108	54
987	4111	49
988	4117	45
989	4120	41
990	4124	37
991	4128	33
992	4133	29
993	4136	24
994	4140	20
995	4145	16
996	4149	12
997	4153	8
998	4156	4
999	4161	0
